Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs,err_log_g_bar
1.62,30.8,4.35,15.54,5.17,0.0,0.49,0.0,1.8977363368074462e-11,5.0983469676612345e-12,5.3604890033197344e-12,0.12267409066747696,0.1
1.69,30.5,4.56,15.54,5.21,0.0,0.45,0.0,1.7838668251394622e-11,4.891153813856307e-12,5.334054244351441e-12,0.12986116967074282,0.1
1.75,33.0,4.04,15.54,5.22,0.0,0.42,0.0,2.0166906552953768e-11,4.724422863895355e-12,4.93783651357171e-12,0.10633634587206892,0.1
1.83,32.1,4.35,15.64,5.25,0.0,0.38,0.0,1.824771250365097e-11,4.575889155165422e-12,4.9456417065969925e-12,0.11770598107658227,0.1
1.9,32.9,4.36,15.64,5.28,0.0,0.35,0.0,1.8462378480242474e-11,4.409997876232219e-12,4.89337204704299e-12,0.11510783836463087,0.1
1.97,34.2,4.9,15.64,5.3,0.0,0.32,0.0,1.9241345627966082e-11,4.2550379235177635e-12,5.513601963569229e-12,0.12444695680268619,0.1
2.04,32.6,3.98,15.64,5.31,0.0,0.3,0.0,1.6883189206854645e-11,4.10987448173692e-12,4.122398346213588e-12,0.1060424563174811,0.1
2.11,33.7,4.73,15.74,5.33,0.0,0.27,0.0,1.7443225743199822e-11,4.023359140297059e-12,4.89652568340268e-12,0.12191174477165466,0.1
2.19,33.8,4.67,15.64,5.35,0.0,0.25,0.0,1.6905917315170753e-11,3.831531179995212e-12,4.671635139754285e-12,0.12000918523598733,0.1
2.26,34.9,3.74,15.64,5.36,0.0,0.23,0.0,1.746593620780843e-11,3.713623328097031e-12,3.743415553994471e-12,0.0930808803620723,0.1
2.33,36.1,5.47,15.64,5.39,0.0,0.21,0.0,1.812624883463233e-11,3.6042980592722528e-12,5.493106987558939e-12,0.13161167955738434,0.1
2.4,37.2,5.39,15.24,5.42,0.0,0.19,0.0,1.8686333385911846e-11,3.3345701432612945e-12,5.415018115594885e-12,0.12585200308916814,0.1
2.48,37.6,7.1,14.73,5.5,0.0,0.17,0.0,1.847453277812282e-11,3.032976078884303e-12,6.977084187482554e-12,0.16401546922941954,0.1
2.55,35.6,4.73,14.22,5.46,0.0,0.0,0.0,1.6106800160487263e-11,2.7592909918287333e-12,4.280065435904762e-12,0.1154052190675495,0.1
2.62,38.3,7.78,13.81,5.25,0.0,0.0,0.0,1.8144529513931514e-11,2.5295067814190447e-12,7.371511207226485e-12,0.17643922032414094,0.1
